43,146,7,567,82,113,75,50,69,43,1100,218,522,11,22,15,37,8,50,19,15,162,22,110,43,50,38,199,73,25,24,191,31,46,40,36,48,17,160,348,181,63,50,31,32,180,36,32,41,30,14,37,15,21,99,169,83,169,463,299,81,136,129,4,22,160,26,732,110,112,236,291,42,259,1312,343,62,362,787,252,147,344,53,193,440,69,12,568,350,65,851,144,33,175,11,32,102,154,21,138,60,195,60,179,68,476,339,132,77,182,16,209,16,113,342,29,7,137,41,462,95,1071,299,79,178,158,229,384,216,503,93,17,240,809,488,236,181,18,21,288,30,95,67,244,325,35,411,133,49,79,40,141,177,78,191,428,565,202,41,143,88,407
60,82,35,33,29,59,51,74,132,94,158,129,221,19,73,109,89,136,16,75,44,10,37,116,79,34,142,68,71,32,16,301,11,83,81,309,24,89,39,36,29,11,60,58,19,33,34,87,60,19,59,21,33,65,44,584,19,15,10,7,22,46,34,19,85,147,73,136,6,11,447,83,9,955,607,217,85,142,344,361,135,418,153,460,76,128,50,240,211,329,260,15,31,246,153,66,12,27,31,109,116,63,11,229,303,385,35,321,23,14,208,205,87,99,79,121,86,30,343,339,88,64,152,289,31,39,91,12,24,27,35,154,53,377,12,4,21,159,6,61,96,28,48,157,103,238,350,194,92,408,492,637,19,111,144,16,84,102,65,32,9,120
220,253,192,61,33,162,34,115,121,59,106,32,70,40,189,189,227,137,45,72,16,50,135,58,256,50,155,47,33,92,45,128,67,105,43,44,53,79,77,20,76,20,4,27,28,28,37,274,18,9,2,6,34,27,79,195,16,6,27,3,2,14,10,22,2,5,2,60,66,17,542,4,114,322,65,23,108,4,138,442,95,163,464,218,152,209,136,273,49,131,9,65,77,108,10,98,10,2,8,483,94,32,35,46,26,91,30,123,54,2,20,807,15,24,117,271,40,25,28,74,13,123,292,3,44,130,251,33,7,70,25,21,58,58,19,13,5,25,7,48,142,6,107,78,63,53,259,59,31,551,151,281,109,250,46,9,159,69,56,43,6,18
169,31,41,0,22,148,17,129,50,398,2,79,19,118,231,24,63,201,31,79,24,43,20,1,85,18,41,0,45,5,13,220,34,94,64,99,54,49,80,31,15,29,48,22,2,2,54,120,67,26,58,59,141,51,9,863,4,0,1,0,5,27,123,80,11,13,39,25,38,46,11,17,8,596,10,37,27,0,0,294,34,77,19,627,28,124,89,89,225,357,0,10,90,7,3,63,3,2,35,220,51,75,53,180,23,285,88,8,0,6,447,50,8,16,23,543,131,44,107,19,705,28,30,21,2,97,430,26,23,175,33,116,13,1,3,12,9,18,35,29,84,11,43,3,14,41,106,56,62,402,30,152,1,37,177,13,409,11,30,16,10,78
12,2,2,112,9,156,52,54,25,54,159,39,200,12,5,2,12,9,1,13,1,2,0,2,24,3,12,1,7,7,0,85,2,11,6,27,45,27,21,27,18,32,25,26,4,10,9,32,22,10,17,14,5,121,9,185,1,12,12,10,29,7,71,25,5,9,34,35,1,4,192,10,5,458,558,239,53,165,458,810,24,124,43,164,104,148,12,113,131,465,610,0,1,42,1,2,3,33,34,277,97,89,7,89,300,128,10,125,12,4,86,346,1,6,84,82,58,8,219,234,43,135,28,75,16,9,332,16,2,40,4,150,48,17,13,2,8,2,22,40,16,2,0,134,57,21,168,45,8,130,357,430,8,34,42,10,56,71,6,9,7,101
41,5,6,2,69,59,28,133,160,87,348,82,24,8,11,13,26,25,5,15,7,6,16,0,33,12,20,1,13,0,1,27,6,20,15,15,46,14,161,27,29,18,30,132,6,13,34,201,26,12,79,17,43,91,91,240,2,11,41,1,30,4,37,161,25,52,42,32,53,24,207,45,40,722,199,35,26,1,64,179,21,162,262,345,64,29,127,306,289,560,14,1,3,3,3,2,4,12,90,229,81,38,31,98,23,417,245,66,17,3,161,475,41,0,223,156,152,26,76,30,66,9,28,16,5,57,17,37,22,115,49,27,67,9,64,19,17,0,53,85,10,15,6,14,71,87,29,31,5,91,146,173,60,21,100,36,48,29,3,11,27,19
61,186,68,8,2,136,9,1,26,69,16,44,13,0,58,72,31,0,601,433,632,1,410,9,2,82,32,44,107,8,126,225,55,112,116,197,5,182,2,0,2,8,26,11,3,1,3,56,102,4,45,32,0,51,1,72,26,1,29,0,3,5,4,13,7,53,2,46,5,6,1,13,75,3,1,4,3,0,0,8,13,11,79,79,52,20,309,3,187,11,5,111,80,0,231,112,7,0,3,7,67,9,7,79,13,200,2,30,21,4,20,73,1,1,42,440,67,0,62,1,43,19,2,7,2,10,6,3,7,4,2,163,2,0,1,23,0,33,0,9,104,7,43,4,9,249,259,4,105,500,37,143,0,77,176,3,3,21,28,61,1,13
5,26,31,106,20,23,34,11,10,22,122,30,59,22,9,24,105,7,37,30,31,38,15,16,22,3,10,88,4,121,24,79,1,53,27,28,20,43,6,101,21,13,19,38,3,37,31,30,27,6,23,10,5,63,32,50,16,6,56,49,26,6,16,4,19,80,6,11,2,37,99,21,25,91,271,204,51,415,174,56,61,108,62,63,42,64,7,329,29,52,228,65,10,102,34,52,14,4,32,40,33,97,2,40,83,59,39,42,39,16,7,128,10,28,50,5,40,37,46,171,77,95,16,29,35,15,43,65,30,36,87,52,12,460,41,54,12,10,3,34,38,8,29,105,29,30,44,27,11,92,59,72,63,28,21,159,33,71,38,17,10,22
2,0,3,222,4,31,23,5,12,25,222,21,47,0,0,1,29,0,0,1,0,11,1,0,2,1,1,23,1,2,0,45,1,28,0,1,20,3,23,33,41,4,8,45,7,266,42,12,0,5,29,2,1,4,55,68,17,21,151,63,33,7,54,2,12,256,1,142,0,33,122,13,12,64,72,196,6,272,139,47,34,153,23,25,151,16,12,467,145,4,448,5,2,27,0,1,11,7,0,5,15,253,13,82,138,49,79,43,33,9,3,156,0,1,13,54,17,63,2,371,69,139,16,99,27,2,9,61,7,45,28,42,39,247,6,18,28,5,3,46,5,30,0,64,57,52,57,52,2,25,64,62,22,1,28,161,31,45,4,10,4,163
107,130,139,7,4,8,7,3,27,10,16,17,24,109,36,156,229,50,90,55,84,40,17,245,116,23,96,37,27,218,19,216,11,53,56,124,21,86,22,31,4,6,11,24,6,4,13,16,9,2,12,11,21,15,38,38,12,9,0,4,19,7,7,6,0,16,11,4,3,7,138,11,3,45,110,85,65,47,44,156,56,28,48,114,73,191,36,62,22,169,70,38,34,110,53,241,2,7,3,22,16,84,3,14,21,34,4,27,2,3,13,29,51,42,7,34,5,2,79,76,12,19,8,35,48,6,43,5,1,4,60,33,1,69,1,1,0,177,7,7,98,1,77,15,9,21,81,5,28,263,50,36,15,103,90,2,14,6,25,32,4,44
